Transaction_ID,Customer_Name,Gender,Join_Date,Customer_Age,Income_USD,Purchase_Amount,Product_Category,Country
TXN-1114,John Smith,male,11/04/2022,69.0," $85,000 ",305.63,nan,Canada
TXN-1115,David BECKHAM,female,2021-12-01,40.0,"$45,000.00",402.83,Clothing,CAN
TXN-1116,nan,male,2021-12-01,27.0,"$95,000.00",240.06,ELECTRONICS,Canada
TXN-1117,  robert DOWNEY ,Male,2023.05.10,28.0,"$150,000.00",217.1,Beauty,Germany
TXN-1118,  robert DOWNEY ,female,2023.05.10,58.0,"$150,000.00",497.86,electronics,Germany
TXN-1119,  Chris Hemsworth  ,male,2022-01-15,58.0,"$62,500",15.14,beauty,United Kingdom
TXN-1120,nan,female,15-Aug-2020,22.0,"$45,000.00",448.58,cloths,Canada
TXN-1121,nan,male,11/04/2022,18.0,"$62,500",83.08,Beauty,United States
TXN-1122,Michael Jordan,female,2021-12-01,34.0," $85,000 ",395.1,clothing,Germany
TXN-1123,  robert DOWNEY ,Male,03/22/2021,39.0,"$62,500",312.79, Home & Kitchen ,USA
TXN-1124,John Smith,nan,2022-01-15,51.0,"$45,000.00",177.51,clothing,USA
TXN-1125,emily WATSON ,female,11/04/2022,,"$55,000",438.2,clothing,US
TXN-1126,emily WATSON ,Male,2022-01-15,62.0,"$95,000.00",16.32,ELECTRONICS,United Kingdom
TXN-1127,David BECKHAM,Female,03/22/2021,58.0,"$150,000.00",121.08,Electronics,UK
TXN-1128,  robert DOWNEY ,nan,2022-01-15,46.0," $85,000 ",287.78,electronics,United States
TXN-1129,  robert DOWNEY ,m,03/22/2021,21.0,"$150,000.00",182.26,beauty,Germany
TXN-1130,emily WATSON ,Male,03/22/2021,22.0,"$120,000.50",309.08,Electronics,nan
TXN-1131,  robert DOWNEY ,Female,15-Aug-2020,28.0,"$95,000.00",21.81,Beauty,U.S.A.
TXN-1132,Michael Jordan,Female,15-Aug-2020,,nan,67.06,clothing,U.S.A.
TXN-1133,ANNA KOURNIKOVA,female,08-11-2019,68.0,"$62,500",72.28,ELECTRONICS,UK
TXN-1134,  sarah CONNOR  ,Female,2023.05.10,38.0,"$32,000",102.75,Beauty,CAN
TXN-1135,nan,M,11/04/2022,52.0,"$45,000.00",, Home & Kitchen ,nan
TXN-1136,  Chris Hemsworth  ,Male,2022-01-15,29.0,"$150,000.00",378.54,electronics,U.S.A.
TXN-1137,David BECKHAM,Female,03/22/2021,43.0,"$62,500",453.71,beauty,UK
TXN-1138,ANNA KOURNIKOVA,M,11/04/2022,68.0," $85,000 ",, Home & Kitchen ,U.S.A.
TXN-1139,emily WATSON ,Male,2022-01-15,36.0,"$150,000.00",106.48,ELECTRONICS,United Kingdom
TXN-1140,nan,F,2023.05.10,62.0,nan,226.16,electronics,US
TXN-1141,  robert DOWNEY ,Female,2023.05.10,24.0,"$95,000.00",107.71,Beauty,CAN
TXN-1142,  Chris Hemsworth  ,Female,11/04/2022,64.0,"$95,000.00",139.59,clothing,United Kingdom
TXN-1143,  robert DOWNEY ,female,2022-01-15,200.0,"$150,000.00",256.74,clothing,nan
TXN-1144,John Smith,Female,15-Aug-2020,24.0," $85,000 ",43.37,nan,UK
TXN-1145,John Smith,female,11/04/2022,43.0,"$95,000.00",116.91,clothing,United States
TXN-1146,  Chris Hemsworth  ,Female,2022-01-15,57.0,"$95,000.00",468.34,Clothing,nan
TXN-1147,  Chris Hemsworth  ,Male,11/04/2022,22.0,nan,238.4,clothing,nan
TXN-1148,emily WATSON ,M,11/04/2022,38.0,"$45,000.00",228.24,Clothing,Canada
TXN-1149,  Chris Hemsworth  ,Female,nan,31.0," $85,000 ",17.14,cloths,United States
TXN-1150,Michael Jordan,Female,03/22/2021,21.0," $85,000 ",131.23,Clothing,USA
TXN-1151,  robert DOWNEY ,Male,2021-12-01,40.0,"$55,000",434.48,electronics,Canada
TXN-1152,ANNA KOURNIKOVA,Male,2023.05.10,59.0,"$55,000",90.67, Home & Kitchen ,UK
TXN-1153,Laura Croft,male,15-Aug-2020,37.0,"$95,000.00",213.41,electronics,USA
TXN-1154,  Chris Hemsworth  ,male,2022-01-15,32.0,"$32,000",17.02, Home & Kitchen ,U.S.A.
TXN-1155,David BECKHAM,female,11/04/2022,67.0,"$55,000",244.38,nan,U.S.A.
TXN-1156,John Smith,male,03/22/2021,69.0,"$95,000.00",20.3,cloths,nan
TXN-1157,Michael Jordan,Female,15-Aug-2020,62.0,UNKNOWN,411.61, Home & Kitchen ,Canada
TXN-1158,nan,Female,2022-01-15,46.0,"$120,000.50",414.18, Home & Kitchen ,Germany
TXN-1159,Laura Croft,Female,2021-12-01,25.0,"$120,000.50",395.99,ELECTRONICS,United States
TXN-1160,ANNA KOURNIKOVA,female,2021-12-01,58.0," $85,000 ",148.85,Electronics,USA
TXN-1161,Laura Croft,M,11/04/2022,65.0,"$32,000",420.25,Electronics,United States
TXN-1162,  Chris Hemsworth  ,female,03/22/2021,36.0,nan,276.07,ELECTRONICS,Canada
TXN-1163,emily WATSON ,M,03/22/2021,65.0,"$45,000.00",193.17,clothing,nan
TXN-1164,John Smith,male,11/04/2022,56.0,"$55,000",316.41,ELECTRONICS,United Kingdom
TXN-1165,John Smith,nan,2023.05.10,63.0,UNKNOWN,16.05, Home & Kitchen ,U.S.A.
TXN-1166,nan,Male,03/22/2021,45.0,"$95,000.00",80.05, Home & Kitchen ,USA
TXN-1167,emily WATSON ,Male,11/04/2022,63.0,"$32,000",373.72,ELECTRONICS,USA
TXN-1168,  robert DOWNEY ,female,nan,," $85,000 ",129.64,ELECTRONICS,UK
TXN-1169,  sarah CONNOR  ,Male,11/04/2022,44.0,"$55,000",303.02,clothing,USA
TXN-1170,Michael Jordan,female,11/04/2022,21.0,"$32,000",198.7,electronics,Canada
TXN-1171,John Smith,M,INVALID_DATE,32.0,"$55,000",428.85,cloths,USA
TXN-1172,David BECKHAM,F,03/22/2021,52.0,"$45,000.00",476.68,Beauty,USA
TXN-1173,John Smith,Female,2023.05.10,54.0,"$45,000.00",442.95, Home & Kitchen ,United States
TXN-1174,Laura Croft,Female,INVALID_DATE,18.0,nan,142.6,cloths,nan
TXN-1175,John Smith,f,03/22/2021,20.0,"$120,000.50",105.14,ELECTRONICS,US
TXN-1176,John Smith,male,11/04/2022,64.0,"$62,500",242.47,clothing,USA
TXN-1177,  sarah CONNOR  ,nan,2023.05.10,41.0,"$62,500",13.59,Clothing,Germany
TXN-1178,  sarah CONNOR  ,Male,2023.05.10,44.0,"$55,000",22.65,clothing,nan
TXN-1179,ANNA KOURNIKOVA,Female,11/04/2022,57.0,nan,281.11,beauty,CAN
TXN-1180,  robert DOWNEY ,male,08-11-2019,53.0,"$62,500",265.02,beauty,UK
TXN-1181,David BECKHAM,Female,2021-12-01,51.0," $85,000 ",497.35,cloths,United States
TXN-1182,John Smith,Male,2022-01-15,46.0,"$62,500",108.9,Electronics,UK
TXN-1183,John Smith,female,08-11-2019,41.0,"$150,000.00",136.47,beauty,United Kingdom
TXN-1184,Michael Jordan,female,03/22/2021,41.0,"$95,000.00",65.63,beauty,USA
TXN-1185,  sarah CONNOR  ,nan,15-Aug-2020,59.0,nan,459.6,electronics,U.S.A.
TXN-1186,David BECKHAM,Male,2023.05.10,21.0," $85,000 ",391.13,Clothing,Germany
TXN-1187,nan,Female,2023.05.10,20.0,"$32,000",412.95,electronics,United States
TXN-1188,ANNA KOURNIKOVA,m,15-Aug-2020,51.0," $85,000 ",452.35,Clothing,UK
TXN-1189,  robert DOWNEY ,male,2020/07/19,,"$120,000.50",267.2,nan,USA
TXN-1190,emily WATSON ,male,11/04/2022,66.0,"$32,000",231.08,Beauty,U.S.A.
TXN-1191,  robert DOWNEY ,M,11/04/2022,40.0,UNKNOWN,171.89, Home & Kitchen ,U.S.A.
TXN-1192,Laura Croft,Female,2022-01-15,-5.0,"$95,000.00",298.72,beauty,United Kingdom
TXN-1193,John Smith,Female,08-11-2019,,"$95,000.00",232.6, Home & Kitchen ,nan
TXN-1194,ANNA KOURNIKOVA,m,08-11-2019,69.0,"$95,000.00",231.27,beauty,Germany
TXN-1195,Laura Croft,Male,2021-12-01,40.0,"$95,000.00",469.09,electronics,US
TXN-1196,David BECKHAM,Male,2022-01-15,62.0,"$55,000",492.18,Beauty,Germany
TXN-1197,emily WATSON ,Male,2022-01-15,22.0,"$95,000.00",400.28,electronics,United Kingdom
TXN-1198,  sarah CONNOR  ,nan,03/22/2021,48.0,"$95,000.00",380.81,electronics,Canada
TXN-1199,ANNA KOURNIKOVA,Male,2022-01-15,-5.0,"$95,000.00",343.47,Clothing,nan
TXN-1200,ANNA KOURNIKOVA,Male,15-Aug-2020,58.0,nan,91.38,Electronics,United States
TXN-1201,John Smith,male,08-11-2019,,"$55,000",38.96,clothing,nan
TXN-1202,  Chris Hemsworth  ,female,2023.05.10,,"$45,000.00",348.46,cloths,United Kingdom
TXN-1203,ANNA KOURNIKOVA,nan,2022-01-15,150.0," $85,000 ",367.11, Home & Kitchen ,United Kingdom
TXN-1204,Michael Jordan,female,03/22/2021,23.0," $85,000 ",33.02,nan,United States
TXN-1205,emily WATSON ,Female,2022-01-15,54.0,"$32,000",464.75,beauty,United States
TXN-1206,emily WATSON ,Female,2022-01-15,,nan,54.66,electronics,United States
TXN-1207,Michael Jordan,Male,03/22/2021,27.0,"$150,000.00",150.09,Electronics,nan
TXN-1208,nan,nan,03/22/2021,57.0," $85,000 ",339.47,electronics,USA
TXN-1209,Michael Jordan,female,2021-12-01,24.0,"$62,500",93.24,Beauty,UK
TXN-1210,Michael Jordan,Female,INVALID_DATE,56.0,"$150,000.00",37.15,Clothing,CAN
TXN-1211,emily WATSON ,female,15-Aug-2020,55.0,"$95,000.00",172.26,nan,United States
TXN-1212,  robert DOWNEY ,Female,15-Aug-2020,38.0,"$95,000.00",,clothing,UK
TXN-1213,emily WATSON ,Female,2021-12-01,37.0,"$55,000",212.7,Beauty,CAN
TXN-1214,  Chris Hemsworth  ,nan,03/22/2021,20.0,"$150,000.00",329.96,ELECTRONICS,nan
TXN-1215,John Smith,F,03/22/2021,68.0,"$62,500",294.01,nan,UK
TXN-1216,Laura Croft,Female,08-11-2019,39.0,"$55,000",20.89,electronics,United States
TXN-1217,  robert DOWNEY ,Female,2022-01-15,64.0,"$32,000",494.38,Beauty,US
TXN-1218,  sarah CONNOR  ,Male,11/04/2022,21.0,"$150,000.00",30.3,clothing,United Kingdom
TXN-1219,Laura Croft,Female,2023.05.10,45.0,nan,484.22,Electronics,UK
TXN-1220,John Smith,Male,15-Aug-2020,29.0,"$95,000.00",279.43,Electronics,U.S.A.
TXN-1221,  Chris Hemsworth  ,Female,15-Aug-2020,55.0,"$95,000.00",481.95, Home & Kitchen ,U.S.A.
TXN-1222,  Chris Hemsworth  ,nan,2021-12-01,68.0,"$120,000.50",66.23,clothing,UK
TXN-1223,  sarah CONNOR  ,Female,2022-01-15,53.0,"$55,000",250.3,Electronics,United States
TXN-1224,  robert DOWNEY ,m,03/22/2021,64.0,"$45,000.00",93.06,Beauty,Germany
TXN-1225,nan,male,11/04/2022,58.0,"$45,000.00",34.98, Home & Kitchen ,United States
TXN-1226,Michael Jordan,Male,2023.05.10,22.0,"$55,000",312.59,Electronics,nan
TXN-1227,  robert DOWNEY ,female,2022-01-15,30.0,nan,,nan,United States
TXN-1228,nan,Male,08-11-2019,40.0,UNKNOWN,297.97,Clothing,nan
TXN-1229,  Chris Hemsworth  ,Male,15-Aug-2020,67.0,"$55,000",65.06,ELECTRONICS,Germany
TXN-1230,emily WATSON ,M,2021-12-01,47.0,nan,172.67,clothing,US
TXN-1231,John Smith,female,2021-12-01,54.0,"$32,000",393.0,Beauty,nan
TXN-1232,  sarah CONNOR  ,female,11/04/2022,42.0,"$95,000.00",224.16,beauty,Canada
TXN-1233,John Smith,Male,2023.05.10,65.0,"$62,500",317.6,electronics,U.S.A.
TXN-1234,David BECKHAM,m,INVALID_DATE,44.0,UNKNOWN,327.25,Beauty,United Kingdom
TXN-1235,David BECKHAM,Female,2022-01-15,68.0,"$150,000.00",423.44,Electronics,U.S.A.
TXN-1236,  robert DOWNEY ,Female,11/04/2022,31.0,UNKNOWN,169.21,Beauty,nan
TXN-1237,  Chris Hemsworth  ,Female,03/22/2021,,"$62,500",346.77,beauty,Canada
TXN-1238,  Chris Hemsworth  ,male,15-Aug-2020,65.0,"$120,000.50",481.19,electronics,USA
TXN-1239,Michael Jordan,Female,15-Aug-2020,64.0,"$95,000.00",367.82, Home & Kitchen ,US
TXN-1240,Michael Jordan,Female,2020/07/19,150.0,"$45,000.00",250.04,Electronics,US
TXN-1241,Michael Jordan,F,INVALID_DATE,53.0,nan,319.05,cloths,USA
TXN-1242,emily WATSON ,Female,03/22/2021,56.0,"$55,000",372.44,Electronics,United Kingdom
TXN-1243,Laura Croft,M,2022-01-15,33.0,"$55,000",310.02,ELECTRONICS,Germany
TXN-1244,ANNA KOURNIKOVA,M,11/04/2022,,"$45,000.00",,cloths,CAN
TXN-1245,Laura Croft,Female,15-Aug-2020,39.0,UNKNOWN,105.44,ELECTRONICS,Canada
TXN-1246,John Smith,female,2022-01-15,38.0,"$95,000.00",407.13,beauty,nan
TXN-1247,Laura Croft,Female,11/04/2022,150.0," $85,000 ",143.6,clothing,CAN
TXN-1248,emily WATSON ,Female,2023.05.10,38.0,nan,368.47,electronics,United Kingdom
TXN-1249,John Smith,female,nan,25.0,"$32,000",,Clothing,Germany
TXN-1250,Laura Croft,Female,03/22/2021,66.0,"$62,500",15000.0, Home & Kitchen ,US
TXN-1251,emily WATSON ,M,15-Aug-2020,33.0,UNKNOWN,43.31,Clothing,nan
TXN-1252,ANNA KOURNIKOVA,female,2023.05.10,200.0,"$150,000.00",98.8,nan,nan
TXN-1253,Laura Croft,M,2021-12-01,48.0,"$120,000.50",479.03,nan,Germany
TXN-1254,emily WATSON ,m,2023.05.10,59.0,"$55,000",446.17,beauty,U.S.A.
TXN-1255,Michael Jordan,nan,11/04/2022,27.0,UNKNOWN,329.61,clothing,Canada
TXN-1256,  Chris Hemsworth  ,Male,03/22/2021,49.0,"$120,000.50",235.23,nan,Germany
TXN-1257,Michael Jordan,Male,2021-12-01,51.0,"$62,500",341.12,Electronics,United States
TXN-1258,  Chris Hemsworth  ,male,15-Aug-2020,26.0,"$55,000",313.12,Beauty,United States
TXN-1259,  sarah CONNOR  ,f,2022-01-15,34.0,"$55,000",288.59,ELECTRONICS,Germany
TXN-1260,  sarah CONNOR  ,Male,11/04/2022,28.0," $85,000 ",39.0,nan,US
TXN-1261,  sarah CONNOR  ,Male,03/22/2021,49.0,UNKNOWN,320.07,beauty,Germany
TXN-1262,ANNA KOURNIKOVA,Male,2022-01-15,27.0,"$95,000.00",386.77,ELECTRONICS,UK
TXN-1263,Michael Jordan,Male,08-11-2019,39.0,"$45,000.00",497.1,Electronics,United Kingdom
TXN-1264,  Chris Hemsworth  ,Male,2023.05.10,,"$45,000.00",15.43,clothing,United States
TXN-1265,emily WATSON ,m,11/04/2022,34.0,"$32,000",367.78,electronics,CAN
TXN-1266,John Smith,Female,03/22/2021,21.0,"$150,000.00",290.18,Clothing,Germany
TXN-1267,emily WATSON ,male,2021-12-01,65.0,"$120,000.50",222.69,Electronics,United States
TXN-1268,John Smith,male,2022-01-15,69.0,UNKNOWN,72.51, Home & Kitchen ,United Kingdom
TXN-1269,David BECKHAM,Male,15-Aug-2020,64.0,nan,210.45,cloths,United Kingdom
TXN-1270,emily WATSON ,male,INVALID_DATE,42.0,"$150,000.00",183.64,beauty,CAN
TXN-1271,Laura Croft,Female,2021-12-01,38.0," $85,000 ",,Clothing,nan
TXN-1272,Laura Croft,female,2023.05.10,54.0,"$55,000",368.13, Home & Kitchen ,UK
TXN-1273,  robert DOWNEY ,Male,15-Aug-2020,55.0,"$95,000.00",,electronics,Germany
TXN-1274,Michael Jordan,m,08-11-2019,66.0,UNKNOWN,298.62, Home & Kitchen ,USA
TXN-1275,John Smith,male,2023.05.10,18.0,"$150,000.00",469.95,clothing,Germany
TXN-1276,John Smith,female,2021-12-01,42.0,"$150,000.00",181.43,cloths,nan
TXN-1277,Michael Jordan,Female,2021-12-01,68.0,"$95,000.00",129.46,ELECTRONICS,Canada
TXN-1278,ANNA KOURNIKOVA,Female,2022-01-15,53.0,"$32,000",331.39,Clothing,U.S.A.
