Transaction_ID,Customer_Name,Gender,Join_Date,Customer_Age,Income_USD,Purchase_Amount,Product_Category,Country,Purchase_Amount_Capped
TXN-1063,Unknown Customer,Male,2021-03-22,54,85000.0,234.15,Home & Kitchen,Germany,234.15
TXN-1064,Sarah Connor,Female,2021-03-22,44,55000.0,204.5,Clothing,United Kingdom,204.5
TXN-1065,Unknown Customer,Female,2022-11-04,44,85000.0,233.14,Clothing,United States,233.14
TXN-1066,Emily Watson,Male,2023-05-10,46,120000.5,213.33,Electronics,Canada,213.33
TXN-1067,Laura Croft,Female,2021-03-22,20,120000.5,367.94,Electronics,United Kingdom,367.94
TXN-1068,Robert Downey,Female,2022-01-15,61,32000.0,76.32,Home & Kitchen,United States,76.32
TXN-1069,Chris Hemsworth,Female,2020-08-15,30,32000.0,106.84,Electronics,United States,106.84
TXN-1070,Laura Croft,Female,2021-12-01,62,85000.0,98.45,Clothing,United Kingdom,98.45
TXN-1071,David Beckham,Female,2021-03-22,27,120000.5,138.61,Beauty,Canada,138.61
TXN-1072,Sarah Connor,Female,2023-05-10,53,85000.0,267.38,Electronics,United States,267.38
TXN-1073,David Beckham,Male,2022-11-04,26,85000.0,64.49,Clothing,United Kingdom,64.49
TXN-1074,Laura Croft,Male,2022-01-15,44,120000.5,435.4,Clothing,United Kingdom,435.4
TXN-1075,Unknown Customer,Male,2022-11-04,44,62500.0,155.71,Beauty,United States,155.71
TXN-1076,Chris Hemsworth,Female,2022-01-15,44,85000.0,89.64,Electronics,United States,89.64
TXN-1077,Chris Hemsworth,Male,2022-01-15,44,85000.0,341.05,Electronics,United Kingdom,341.05
TXN-1078,John Smith,Female,2023-05-10,51,85000.0,28.66,Clothing,Canada,28.66
TXN-1079,Chris Hemsworth,Female,2021-03-22,68,120000.5,313.78,Electronics,United States,313.78
TXN-1080,Robert Downey,Female,2020-08-15,18,55000.0,352.12,Home & Kitchen,United States,352.12
TXN-1081,Chris Hemsworth,Female,2020-08-15,49,95000.0,115.31,Electronics,United States,115.31
TXN-1082,Laura Croft,Female,2021-12-01,42,62500.0,30.56,Electronics,United States,30.56
TXN-1083,John Smith,Female,2022-11-04,46,55000.0,188.19,Electronics,Germany,188.19
TXN-1084,Laura Croft,Male,2022-11-04,24,32000.0,58.31,Electronics,United States,58.31
TXN-1085,Laura Croft,Female,2022-01-15,66,32000.0,67.07,Beauty,Canada,67.07
TXN-1086,Michael Jordan,Male,2021-03-22,20,120000.5,134.59,Beauty,Canada,134.59
TXN-1087,John Smith,Male,2022-01-15,37,32000.0,154.78,Electronics,United States,154.78
TXN-1088,Laura Croft,Female,2023-05-10,37,62500.0,269.69,Clothing,United Kingdom,269.69
TXN-1089,Michael Jordan,Female,2019-08-11,44,85000.0,342.41,Electronics,United States,342.41
TXN-1090,Michael Jordan,Male,2020-08-15,47,150000.0,300.46,Beauty,Germany,300.46
TXN-1091,John Smith,Female,2021-03-22,52,45000.0,82.7,Electronics,United States,82.7
TXN-1092,David Beckham,Female,2023-05-10,52,85000.0,94.32,Electronics,Canada,94.32
TXN-1093,Unknown Customer,Female,2021-12-01,66,85000.0,440.6,Electronics,United States,440.6
TXN-1094,Robert Downey,Female,2022-11-04,56,150000.0,283.59,Home & Kitchen,United States,283.59
TXN-1095,Unknown Customer,Female,2019-08-11,44,85000.0,436.27,Electronics,United States,436.27
TXN-1096,Chris Hemsworth,Female,2021-03-22,43,62500.0,192.06,Clothing,United States,192.06
TXN-1097,Robert Downey,Female,2021-03-22,31,55000.0,311.06,Electronics,Germany,311.06
TXN-1098,Chris Hemsworth,Female,2019-08-11,34,150000.0,266.6,Clothing,United States,266.6
TXN-1099,Laura Croft,Female,2022-11-04,35,62500.0,166.37,Electronics,Germany,166.37
TXN-1100,Sarah Connor,Female,2020-08-15,62,95000.0,15000.0,Electronics,Canada,724.42625
TXN-1101,John Smith,Male,2022-11-04,69,55000.0,256.22,Home & Kitchen,United States,256.22
TXN-1102,Robert Downey,Male,2021-12-01,46,32000.0,108.38,Clothing,United States,108.38
TXN-1103,Robert Downey,Male,2022-11-04,37,32000.0,164.36,Beauty,United States,164.36
TXN-1104,Laura Croft,Male,2022-11-04,44,55000.0,397.79,Clothing,United Kingdom,397.79
TXN-1105,David Beckham,Female,2020-08-15,44,85000.0,248.73,Home & Kitchen,Germany,248.73
TXN-1106,Michael Jordan,Female,2023-05-10,35,85000.0,186.3,Electronics,United States,186.3
TXN-1107,Laura Croft,Female,2023-05-10,21,85000.0,160.42,Clothing,Germany,160.42
TXN-1108,Anna Kournikova,Male,2021-12-01,18,150000.0,105.65,Electronics,United Kingdom,105.65
TXN-1109,Michael Jordan,Female,2021-12-01,67,85000.0,342.46,Clothing,Germany,342.46
TXN-1110,John Smith,Female,2021-12-01,18,150000.0,168.32,Beauty,United States,168.32
TXN-1111,Michael Jordan,Female,2022-01-15,43,120000.5,494.0,Clothing,United Kingdom,494.0
TXN-1112,David Beckham,Female,2022-11-04,62,45000.0,169.59,Electronics,Germany,169.59
TXN-1113,Michael Jordan,Female,2021-12-01,37,55000.0,203.13,Beauty,Canada,203.13
TXN-1114,John Smith,Male,2022-11-04,69,85000.0,305.63,Electronics,Canada,305.63
TXN-1115,David Beckham,Female,2021-12-01,40,45000.0,402.83,Clothing,Canada,402.83
TXN-1116,Unknown Customer,Male,2021-12-01,27,95000.0,240.06,Electronics,Canada,240.06
TXN-1117,Robert Downey,Male,2023-05-10,28,150000.0,217.1,Beauty,Germany,217.1
TXN-1118,Robert Downey,Female,2023-05-10,58,150000.0,497.86,Electronics,Germany,497.86
TXN-1119,Chris Hemsworth,Male,2022-01-15,58,62500.0,15.14,Beauty,United Kingdom,15.14
TXN-1120,Unknown Customer,Female,2020-08-15,22,45000.0,448.58,Clothing,Canada,448.58
TXN-1121,Unknown Customer,Male,2022-11-04,18,62500.0,83.08,Beauty,United States,83.08
TXN-1122,Michael Jordan,Female,2021-12-01,34,85000.0,395.1,Clothing,Germany,395.1
TXN-1123,Robert Downey,Male,2021-03-22,39,62500.0,312.79,Home & Kitchen,United States,312.79
TXN-1124,John Smith,Female,2022-01-15,51,45000.0,177.51,Clothing,United States,177.51
TXN-1125,Emily Watson,Female,2022-11-04,44,55000.0,438.2,Clothing,United States,438.2
TXN-1126,Emily Watson,Male,2022-01-15,62,95000.0,16.32,Electronics,United Kingdom,16.32
TXN-1127,David Beckham,Female,2021-03-22,58,150000.0,121.08,Electronics,United Kingdom,121.08
TXN-1128,Robert Downey,Female,2022-01-15,46,85000.0,287.78,Electronics,United States,287.78
TXN-1129,Robert Downey,Male,2021-03-22,21,150000.0,182.26,Beauty,Germany,182.26
TXN-1130,Emily Watson,Male,2021-03-22,22,120000.5,309.08,Electronics,United States,309.08
TXN-1131,Robert Downey,Female,2020-08-15,28,95000.0,21.81,Beauty,United States,21.81
TXN-1132,Michael Jordan,Female,2020-08-15,44,85000.0,67.06,Clothing,United States,67.06
TXN-1133,Anna Kournikova,Female,2019-08-11,68,62500.0,72.28,Electronics,United Kingdom,72.28
TXN-1134,Sarah Connor,Female,2023-05-10,38,32000.0,102.75,Beauty,Canada,102.75
TXN-1135,Unknown Customer,Male,2022-11-04,52,45000.0,248.73,Home & Kitchen,United States,248.73
TXN-1136,Chris Hemsworth,Male,2022-01-15,29,150000.0,378.54,Electronics,United States,378.54
TXN-1137,David Beckham,Female,2021-03-22,43,62500.0,453.71,Beauty,United Kingdom,453.71
TXN-1138,Anna Kournikova,Male,2022-11-04,68,85000.0,248.73,Home & Kitchen,United States,248.73
TXN-1139,Emily Watson,Male,2022-01-15,36,150000.0,106.48,Electronics,United Kingdom,106.48
TXN-1140,Unknown Customer,Female,2023-05-10,62,85000.0,226.16,Electronics,United States,226.16
TXN-1141,Robert Downey,Female,2023-05-10,24,95000.0,107.71,Beauty,Canada,107.71
TXN-1142,Chris Hemsworth,Female,2022-11-04,64,95000.0,139.59,Clothing,United Kingdom,139.59
TXN-1143,Robert Downey,Female,2022-01-15,44,150000.0,256.74,Clothing,United States,256.74
TXN-1144,John Smith,Female,2020-08-15,24,85000.0,43.37,Electronics,United Kingdom,43.37
TXN-1145,John Smith,Female,2022-11-04,43,95000.0,116.91,Clothing,United States,116.91
TXN-1146,Chris Hemsworth,Female,2022-01-15,57,95000.0,468.34,Clothing,United States,468.34
TXN-1147,Chris Hemsworth,Male,2022-11-04,22,85000.0,238.4,Clothing,United States,238.4
TXN-1148,Emily Watson,Male,2022-11-04,38,45000.0,228.24,Clothing,Canada,228.24
TXN-1149,Chris Hemsworth,Female,2022-11-04,31,85000.0,17.14,Clothing,United States,17.14
TXN-1150,Michael Jordan,Female,2021-03-22,21,85000.0,131.23,Clothing,United States,131.23
TXN-1151,Robert Downey,Male,2021-12-01,40,55000.0,434.48,Electronics,Canada,434.48
TXN-1152,Anna Kournikova,Male,2023-05-10,59,55000.0,90.67,Home & Kitchen,United Kingdom,90.67
TXN-1153,Laura Croft,Male,2020-08-15,37,95000.0,213.41,Electronics,United States,213.41
TXN-1154,Chris Hemsworth,Male,2022-01-15,32,32000.0,17.02,Home & Kitchen,United States,17.02
TXN-1155,David Beckham,Female,2022-11-04,67,55000.0,244.38,Electronics,United States,244.38
TXN-1156,John Smith,Male,2021-03-22,69,95000.0,20.3,Clothing,United States,20.3
TXN-1157,Michael Jordan,Female,2020-08-15,62,85000.0,411.61,Home & Kitchen,Canada,411.61
TXN-1158,Unknown Customer,Female,2022-01-15,46,120000.5,414.18,Home & Kitchen,Germany,414.18
TXN-1159,Laura Croft,Female,2021-12-01,25,120000.5,395.99,Electronics,United States,395.99
TXN-1160,Anna Kournikova,Female,2021-12-01,58,85000.0,148.85,Electronics,United States,148.85
TXN-1161,Laura Croft,Male,2022-11-04,65,32000.0,420.25,Electronics,United States,420.25
TXN-1162,Chris Hemsworth,Female,2021-03-22,36,85000.0,276.07,Electronics,Canada,276.07
TXN-1163,Emily Watson,Male,2021-03-22,65,45000.0,193.17,Clothing,United States,193.17
TXN-1164,John Smith,Male,2022-11-04,56,55000.0,316.41,Electronics,United Kingdom,316.41
TXN-1165,John Smith,Female,2023-05-10,63,85000.0,16.05,Home & Kitchen,United States,16.05
TXN-1166,Unknown Customer,Male,2021-03-22,45,95000.0,80.05,Home & Kitchen,United States,80.05
TXN-1167,Emily Watson,Male,2022-11-04,63,32000.0,373.72,Electronics,United States,373.72
TXN-1168,Robert Downey,Female,2022-11-04,44,85000.0,129.64,Electronics,United Kingdom,129.64
TXN-1169,Sarah Connor,Male,2022-11-04,44,55000.0,303.02,Clothing,United States,303.02
TXN-1170,Michael Jordan,Female,2022-11-04,21,32000.0,198.7,Electronics,Canada,198.7
TXN-1171,John Smith,Male,2022-11-04,32,55000.0,428.85,Clothing,United States,428.85
TXN-1172,David Beckham,Female,2021-03-22,52,45000.0,476.68,Beauty,United States,476.68
TXN-1173,John Smith,Female,2023-05-10,54,45000.0,442.95,Home & Kitchen,United States,442.95
TXN-1174,Laura Croft,Female,2023-05-10,18,85000.0,142.6,Clothing,United States,142.6
TXN-1175,John Smith,Female,2021-03-22,20,120000.5,105.14,Electronics,United States,105.14
TXN-1176,John Smith,Male,2022-11-04,64,62500.0,242.47,Clothing,United States,242.47
TXN-1177,Sarah Connor,Female,2023-05-10,41,62500.0,13.59,Clothing,Germany,13.59
TXN-1178,Sarah Connor,Male,2023-05-10,44,55000.0,22.65,Clothing,United States,22.65
TXN-1179,Anna Kournikova,Female,2022-11-04,57,85000.0,281.11,Beauty,Canada,281.11
TXN-1180,Robert Downey,Male,2019-08-11,53,62500.0,265.02,Beauty,United Kingdom,265.02
TXN-1181,David Beckham,Female,2021-12-01,51,85000.0,497.35,Clothing,United States,497.35
TXN-1182,John Smith,Male,2022-01-15,46,62500.0,108.9,Electronics,United Kingdom,108.9
TXN-1183,John Smith,Female,2019-08-11,41,150000.0,136.47,Beauty,United Kingdom,136.47
TXN-1184,Michael Jordan,Female,2021-03-22,41,95000.0,65.63,Beauty,United States,65.63
TXN-1185,Sarah Connor,Female,2020-08-15,59,85000.0,459.6,Electronics,United States,459.6
TXN-1186,David Beckham,Male,2023-05-10,21,85000.0,391.13,Clothing,Germany,391.13
TXN-1187,Unknown Customer,Female,2023-05-10,20,32000.0,412.95,Electronics,United States,412.95
TXN-1188,Anna Kournikova,Male,2020-08-15,51,85000.0,452.35,Clothing,United Kingdom,452.35
TXN-1189,Robert Downey,Male,2020-07-19,44,120000.5,267.2,Electronics,United States,267.2
TXN-1190,Emily Watson,Male,2022-11-04,66,32000.0,231.08,Beauty,United States,231.08
TXN-1191,Robert Downey,Male,2022-11-04,40,85000.0,171.89,Home & Kitchen,United States,171.89
TXN-1192,Laura Croft,Female,2022-01-15,44,95000.0,298.72,Beauty,United Kingdom,298.72
TXN-1193,John Smith,Female,2019-08-11,44,95000.0,232.6,Home & Kitchen,United States,232.6
TXN-1194,Anna Kournikova,Male,2019-08-11,69,95000.0,231.27,Beauty,Germany,231.27
TXN-1195,Laura Croft,Male,2021-12-01,40,95000.0,469.09,Electronics,United States,469.09
TXN-1196,David Beckham,Male,2022-01-15,62,55000.0,492.18,Beauty,Germany,492.18
TXN-1197,Emily Watson,Male,2022-01-15,22,95000.0,400.28,Electronics,United Kingdom,400.28
TXN-1198,Sarah Connor,Female,2021-03-22,48,95000.0,380.81,Electronics,Canada,380.81
TXN-1199,Anna Kournikova,Male,2022-01-15,44,95000.0,343.47,Clothing,United States,343.47
TXN-1200,Anna Kournikova,Male,2020-08-15,58,85000.0,91.38,Electronics,United States,91.38
TXN-1201,John Smith,Male,2019-08-11,44,55000.0,38.96,Clothing,United States,38.96
TXN-1202,Chris Hemsworth,Female,2023-05-10,44,45000.0,348.46,Clothing,United Kingdom,348.46
TXN-1203,Anna Kournikova,Female,2022-01-15,44,85000.0,367.11,Home & Kitchen,United Kingdom,367.11
TXN-1204,Michael Jordan,Female,2021-03-22,23,85000.0,33.02,Electronics,United States,33.02
TXN-1205,Emily Watson,Female,2022-01-15,54,32000.0,464.75,Beauty,United States,464.75
TXN-1206,Emily Watson,Female,2022-01-15,44,85000.0,54.66,Electronics,United States,54.66
TXN-1207,Michael Jordan,Male,2021-03-22,27,150000.0,150.09,Electronics,United States,150.09
TXN-1208,Unknown Customer,Female,2021-03-22,57,85000.0,339.47,Electronics,United States,339.47
TXN-1209,Michael Jordan,Female,2021-12-01,24,62500.0,93.24,Beauty,United Kingdom,93.24
TXN-1210,Michael Jordan,Female,2021-12-01,56,150000.0,37.15,Clothing,Canada,37.15
TXN-1211,Emily Watson,Female,2020-08-15,55,95000.0,172.26,Electronics,United States,172.26
TXN-1212,Robert Downey,Female,2020-08-15,38,95000.0,248.73,Clothing,United Kingdom,248.73
TXN-1213,Emily Watson,Female,2021-12-01,37,55000.0,212.7,Beauty,Canada,212.7
TXN-1214,Chris Hemsworth,Female,2021-03-22,20,150000.0,329.96,Electronics,United States,329.96
TXN-1215,John Smith,Female,2021-03-22,68,62500.0,294.01,Electronics,United Kingdom,294.01
TXN-1216,Laura Croft,Female,2019-08-11,39,55000.0,20.89,Electronics,United States,20.89
TXN-1217,Robert Downey,Female,2022-01-15,64,32000.0,494.38,Beauty,United States,494.38
TXN-1218,Sarah Connor,Male,2022-11-04,21,150000.0,30.3,Clothing,United Kingdom,30.3
TXN-1219,Laura Croft,Female,2023-05-10,45,85000.0,484.22,Electronics,United Kingdom,484.22
TXN-1220,John Smith,Male,2020-08-15,29,95000.0,279.43,Electronics,United States,279.43
TXN-1221,Chris Hemsworth,Female,2020-08-15,55,95000.0,481.95,Home & Kitchen,United States,481.95
TXN-1222,Chris Hemsworth,Female,2021-12-01,68,120000.5,66.23,Clothing,United Kingdom,66.23
TXN-1223,Sarah Connor,Female,2022-01-15,53,55000.0,250.3,Electronics,United States,250.3
TXN-1224,Robert Downey,Male,2021-03-22,64,45000.0,93.06,Beauty,Germany,93.06
TXN-1225,Unknown Customer,Male,2022-11-04,58,45000.0,34.98,Home & Kitchen,United States,34.98
TXN-1226,Michael Jordan,Male,2023-05-10,22,55000.0,312.59,Electronics,United States,312.59
TXN-1227,Robert Downey,Female,2022-01-15,30,85000.0,248.73,Electronics,United States,248.73
TXN-1228,Unknown Customer,Male,2019-08-11,40,85000.0,297.97,Clothing,United States,297.97
TXN-1229,Chris Hemsworth,Male,2020-08-15,67,55000.0,65.06,Electronics,Germany,65.06
TXN-1230,Emily Watson,Male,2021-12-01,47,85000.0,172.67,Clothing,United States,172.67
TXN-1231,John Smith,Female,2021-12-01,54,32000.0,393.0,Beauty,United States,393.0
TXN-1232,Sarah Connor,Female,2022-11-04,42,95000.0,224.16,Beauty,Canada,224.16
TXN-1233,John Smith,Male,2023-05-10,65,62500.0,317.6,Electronics,United States,317.6
TXN-1234,David Beckham,Male,2023-05-10,44,85000.0,327.25,Beauty,United Kingdom,327.25
TXN-1235,David Beckham,Female,2022-01-15,68,150000.0,423.44,Electronics,United States,423.44
TXN-1236,Robert Downey,Female,2022-11-04,31,85000.0,169.21,Beauty,United States,169.21
TXN-1237,Chris Hemsworth,Female,2021-03-22,44,62500.0,346.77,Beauty,Canada,346.77
TXN-1238,Chris Hemsworth,Male,2020-08-15,65,120000.5,481.19,Electronics,United States,481.19
TXN-1239,Michael Jordan,Female,2020-08-15,64,95000.0,367.82,Home & Kitchen,United States,367.82
TXN-1240,Michael Jordan,Female,2020-07-19,44,45000.0,250.04,Electronics,United States,250.04
TXN-1241,Michael Jordan,Female,2020-07-19,53,85000.0,319.05,Clothing,United States,319.05
TXN-1242,Emily Watson,Female,2021-03-22,56,55000.0,372.44,Electronics,United Kingdom,372.44
TXN-1243,Laura Croft,Male,2022-01-15,33,55000.0,310.02,Electronics,Germany,310.02
TXN-1244,Anna Kournikova,Male,2022-11-04,44,45000.0,248.73,Clothing,Canada,248.73
TXN-1245,Laura Croft,Female,2020-08-15,39,85000.0,105.44,Electronics,Canada,105.44
TXN-1246,John Smith,Female,2022-01-15,38,95000.0,407.13,Beauty,United States,407.13
TXN-1247,Laura Croft,Female,2022-11-04,44,85000.0,143.6,Clothing,Canada,143.6
TXN-1248,Emily Watson,Female,2023-05-10,38,85000.0,368.47,Electronics,United Kingdom,368.47
TXN-1249,John Smith,Female,2023-05-10,25,32000.0,248.73,Clothing,Germany,248.73
TXN-1250,Laura Croft,Female,2021-03-22,66,62500.0,15000.0,Home & Kitchen,United States,724.42625
TXN-1251,Emily Watson,Male,2020-08-15,33,85000.0,43.31,Clothing,United States,43.31
TXN-1252,Anna Kournikova,Female,2023-05-10,44,150000.0,98.8,Electronics,United States,98.8
TXN-1253,Laura Croft,Male,2021-12-01,48,120000.5,479.03,Electronics,Germany,479.03
TXN-1254,Emily Watson,Male,2023-05-10,59,55000.0,446.17,Beauty,United States,446.17
TXN-1255,Michael Jordan,Female,2022-11-04,27,85000.0,329.61,Clothing,Canada,329.61
TXN-1256,Chris Hemsworth,Male,2021-03-22,49,120000.5,235.23,Electronics,Germany,235.23
TXN-1257,Michael Jordan,Male,2021-12-01,51,62500.0,341.12,Electronics,United States,341.12
TXN-1258,Chris Hemsworth,Male,2020-08-15,26,55000.0,313.12,Beauty,United States,313.12
TXN-1259,Sarah Connor,Female,2022-01-15,34,55000.0,288.59,Electronics,Germany,288.59
TXN-1260,Sarah Connor,Male,2022-11-04,28,85000.0,39.0,Electronics,United States,39.0
TXN-1261,Sarah Connor,Male,2021-03-22,49,85000.0,320.07,Beauty,Germany,320.07
TXN-1262,Anna Kournikova,Male,2022-01-15,27,95000.0,386.77,Electronics,United Kingdom,386.77
TXN-1263,Michael Jordan,Male,2019-08-11,39,45000.0,497.1,Electronics,United Kingdom,497.1
TXN-1264,Chris Hemsworth,Male,2023-05-10,44,45000.0,15.43,Clothing,United States,15.43
TXN-1265,Emily Watson,Male,2022-11-04,34,32000.0,367.78,Electronics,Canada,367.78
TXN-1266,John Smith,Female,2021-03-22,21,150000.0,290.18,Clothing,Germany,290.18
TXN-1267,Emily Watson,Male,2021-12-01,65,120000.5,222.69,Electronics,United States,222.69
TXN-1268,John Smith,Male,2022-01-15,69,85000.0,72.51,Home & Kitchen,United Kingdom,72.51
TXN-1269,David Beckham,Male,2020-08-15,64,85000.0,210.45,Clothing,United Kingdom,210.45
TXN-1270,Emily Watson,Male,2020-08-15,42,150000.0,183.64,Beauty,Canada,183.64
TXN-1271,Laura Croft,Female,2021-12-01,38,85000.0,248.73,Clothing,United States,248.73
TXN-1272,Laura Croft,Female,2023-05-10,54,55000.0,368.13,Home & Kitchen,United Kingdom,368.13
TXN-1273,Robert Downey,Male,2020-08-15,55,95000.0,248.73,Electronics,Germany,248.73
TXN-1274,Michael Jordan,Male,2019-08-11,66,85000.0,298.62,Home & Kitchen,United States,298.62
TXN-1275,John Smith,Male,2023-05-10,18,150000.0,469.95,Clothing,Germany,469.95
TXN-1276,John Smith,Female,2021-12-01,42,150000.0,181.43,Clothing,United States,181.43
TXN-1277,Michael Jordan,Female,2021-12-01,68,95000.0,129.46,Electronics,Canada,129.46
TXN-1278,Anna Kournikova,Female,2022-01-15,53,32000.0,331.39,Clothing,United States,331.39
TXN-1279,Robert Downey,Male,2022-01-15,34,120000.5,107.42,Clothing,United States,107.42
TXN-1280,Anna Kournikova,Female,2022-11-04,58,120000.5,164.36,Beauty,United States,164.36
TXN-1281,Anna Kournikova,Male,2021-03-22,41,150000.0,120.06,Electronics,United Kingdom,120.06
TXN-1282,Anna Kournikova,Male,2021-03-22,19,62500.0,43.89,Beauty,United States,43.89
